transaction_id,date,property_id,seller_id,buyer_id,price,notary
1,2024-02-21,1115,202,169,22338917,Зиновий Викентьевич Исаков
2,2021-12-27,1838,246,215,13937210,Ефим Ефимович Беспалов
3,2021-12-01,1682,241,35,29938806,Лихачева Евфросиния Романовна
4,2022-01-09,435,127,111,21360792,Карл Геннадиевич Евсеев
5,2022-06-09,931,241,99,14887883,Голубев Марк Фадеевич
6,2025-12-15,1482,52,15,16546368,Амвросий Иосифович Журавлев
7,2022-01-30,981,192,62,16566593,Евгения Валериевна Громова
8,2022-10-22,471,139,152,875982,Мамонтова Милица Игоревна
9,2026-05-29,597,18,158,4949455,Порфирий Фомич Семенов
10,2025-02-12,768,54,89,25161678,Ярослав Тарасович Калинин
11,2023-10-25,1464,52,49,23597040,Тихонов Игорь Алексеевич
12,2025-05-21,214,201,32,14317537,Алевтина Робертовна Назарова
13,2022-02-03,1247,69,96,25112835,Гурьева Ангелина Антоновна
14,2022-05-07,995,248,223,10991506,Дьячков Корнил Августович
15,2024-07-31,573,146,8,3658966,Лаврентий Валерьянович Орлов
16,2022-05-17,1585,209,159,10237136,Трофимова Ксения Эдуардовна
17,2021-08-02,419,37,88,10449925,Сидоров Фотий Арсеньевич
18,2021-11-18,281,98,80,22961405,Гуляева Анастасия Павловна
19,2022-11-10,198,154,81,23757491,Пахомова Анжела Кирилловна
20,2026-04-07,940,20,127,27629088,Новиков Кондратий Глебович
21,2021-07-22,668,26,4,23911150,Аксенова Кира Аркадьевна
22,2023-09-03,1195,274,158,15237718,Богданов Аристарх Фокич
23,2021-10-04,434,279,180,24040169,Егорова Евфросиния Анатольевна
24,2021-08-31,1213,264,61,22924683,Маргарита Андреевна Рябова
25,2022-03-02,1168,274,34,11786470,Станимир Якубович Панов
26,2026-02-03,396,190,141,770595,Никанор Фёдорович Попов
27,2025-01-29,62,228,53,10865947,Мирон Валентинович Федотов
28,2022-05-28,1877,227,180,6956057,Зосима Изотович Колобов
29,2022-01-11,709,61,100,16185291,Адриан Иларионович Ковалев
30,2023-09-05,252,120,165,10936974,Тетерина Оксана Руслановна
31,2021-11-09,1830,45,155,28644474,Голубева Лукия Евгеньевна
32,2026-01-04,1388,82,48,23463888,Василий Игнатьевич Ильин
33,2022-06-02,1859,289,261,28170724,Рогов Платон Всеволодович
34,2025-06-03,1135,178,199,29359425,Зоя Григорьевна Ситникова
35,2024-07-24,364,70,37,1411384,Белоусова Валерия Антоновна
36,2024-10-04,1929,190,163,13362449,Гордеев Пантелеймон Зиновьевич
37,2021-07-04,1620,129,138,6581358,Пестова Полина Геннадиевна
38,2024-02-13,565,62,297,20418994,Виталий Алексеевич Чернов
39,2023-02-13,1945,161,19,21779325,г-н Герасимов Галактион Абрамович
40,2025-02-24,1153,234,124,16615687,Гурьев Амос Ефремович
41,2024-02-23,1417,286,196,15021761,Дарья Кузьминична Гущина
42,2021-08-03,1149,176,89,26517023,Кудряшова Александра Юрьевна
43,2025-01-23,1483,56,293,12142519,Гусева Лариса Евгеньевна
44,2023-06-01,1057,161,119,18527436,Валерьян Авдеевич Стрелков
45,2026-05-16,1295,286,48,19581772,Костина Ульяна Егоровна
46,2022-01-19,543,108,48,28510043,Феврония Болеславовна Фокина
47,2023-09-15,1746,276,279,26754180,Алевтина Эльдаровна Костина
48,2025-09-18,348,288,9,28543943,Щукин Ярополк Филимонович
49,2022-05-11,469,73,158,4755257,г-жа Нестерова Евгения Семеновна
50,2025-11-06,1907,269,77,10366885,Лев Артемьевич Миронов
51,2023-08-09,1530,148,195,14748549,Лаврентьева Людмила Захаровна
52,2023-01-18,740,10,264,25487309,Максимильян Андреевич Алексеев
53,2024-11-11,1998,251,139,14261058,Дементий Харлампович Николаев
54,2025-12-12,316,177,104,27543309,Нина Эльдаровна Красильникова
55,2024-10-07,57,188,266,18579059,Ирина Тимуровна Голубева
56,2022-02-14,1898,196,122,9135376,Виноградов Данила Венедиктович
57,2025-05-27,995,248,242,12946245,Дорофеев Евгений Аверьянович
58,2025-01-15,1675,168,271,13292591,тов. Орехов Софрон Даниилович
59,2024-09-11,497,189,131,25050259,Сильвестр Арсеньевич Кузнецов
60,2025-08-12,164,112,261,15084693,Пахомов Всеволод Димитриевич
61,2021-11-16,1942,196,148,6396448,Вишнякова Елена Матвеевна
62,2022-02-15,1384,110,129,24909453,Самойлова Елена Георгиевна
63,2022-03-30,1524,59,198,21311202,тов. Игнатьева Дарья Аркадьевна
64,2026-03-13,58,196,285,11565226,Крылов Пимен Теймуразович
65,2022-02-17,872,90,11,15591669,Мария Валериевна Соколова
66,2022-02-12,64,171,105,11909373,Георгий Зиновьевич Гурьев
67,2022-05-31,304,53,297,29422874,Щербакова Милица Аркадьевна
68,2026-03-14,114,266,84,25971782,Наина Эдуардовна Родионова
69,2022-05-10,33,241,140,29998974,Акулина Тимуровна Дорофеева
70,2021-06-07,1252,102,5,8846284,Ефремова Алевтина Феликсовна
71,2022-12-14,92,32,218,10008629,Агафонова Ольга Никифоровна
